,Stock1,Stock2,Pvalue,Category
357,PCTY,OPRA,0.353817352988825,0
358,PEGA,OSIS,0.8014246807886121,0
359,PRFT,PCTY,0.6071722184541182,0
360,PLXS,PEGA,0.6912903747901666,0
361,PS,PRFT,0.831275393784747,0
362,POWI,PLXS,0.5209212100119667,0
363,PRGS,PS,0.957364821228337,0
364,PFPT,POWI,0.7348536066694058,0
365,PTC,PRGS,0.14852115953845435,0
366,QRVO,PFPT,0.05284658928082393,0
367,QCOM,PTC,0.04334421373644891,0
368,QLYS,QRVO,0.8985011789162685,0
369,RXT,QCOM,0.6980463251005138,0
370,RMBS,QLYS,0.8194068275491339,0
371,RPD,RXT,0.2756183484690061,0
372,RP,RMBS,0.43832550719653396,0
373,RCII,RPD,0.8066218074729219,0
374,SABR,RP,0.7543274294794097,0
375,SANM,RCII,0.3852908552581758,0
376,SPNS,SABR,0.6790751455293107,0
377,SGMS,SANM,0.539895760146446,0
378,STX,SPNS,0.510453766787819,0
379,SCWX,SGMS,0.0024810435284258513,1
380,SMTC,STX,0.5243702924543584,0
381,SLAB,SCWX,0.04362203182712275,0
382,SIMO,SMTC,0.7381269103541525,0
383,SLP,SLAB,0.7292480838402319,0
384,SINA,SIMO,0.11225188818139398,0
385,SITM,SLP,0.035454177798562844,0
386,SWKS,SINA,0.48514068719021464,0
387,SEDG,SITM,0.11850628806118452,0
388,SY,SWKS,0.6216506367345952,0
389,SPLK,SEDG,0.7510126325853161,0
390,SPT,SY,0.6544451031481566,0
391,SPSC,SPLK,0.7957582979872444,0
392,SSNC,SPT,0.5250134521601008,0
393,STNE,SPSC,0.08619997422276504,0
394,SPWR,SSNC,0.9345527321702477,0
395,SMCI,STNE,0.6396570728612028,0
396,SVMK,SPWR,0.7897744508150208,0
397,SYKE,SMCI,0.66967081685473,0
398,SYNA,SVMK,0.17324722523204872,0
399,SNPS,SYKE,0.9578977311806329,0
400,TTWO,SYNA,0.10635254490397406,0
401,TLND,SNPS,0.7865616128070643,0
402,TENB,TTWO,0.5614684398738287,0
403,TXN,TLND,0.6376212344776752,0
404,DSGX,TENB,0.23605266344525305,0
405,MIDD,TXN,0.6852082738165016,0
406,TTD,DSGX,0.32400780417458525,0
407,TSEM,MIDD,0.7672554776932246,0
408,TRIP,TTD,0.5475292353548343,0
409,TTEC,TSEM,0.5533193407037901,0
410,TTMI,TRIP,0.2961432530013066,0
411,UCTT,TTEC,0.7637781086837128,0
412,UPLD,TTMI,0.9308224334130826,0
413,UPWK,UCTT,0.21563670981738658,0
414,VRNS,UPLD,0.7332036261826769,0
415,VRNT,UPWK,0.7762880203177019,0
416,VRSN,VRNS,0.008686404841042489,1
417,VRSK,VRNT,0.32001157600593066,0
418,VERX,VRSN,0.6681737983476979,0
419,VSAT,VRSK,0.13656129150536872,0
420,VIAV,VERX,0.3565006415460427,0
421,VRTU,VSAT,0.34931601884253505,0
422,WB,VIAV,0.8630559550525343,0
423,WDC,VRTU,0.4730760900286794,0
424,WIX,WB,0.11720272694424078,0
425,WDAY,WDC,0.9938233620494611,0
426,XLNX,WIX,0.21501456901545485,0
427,XPER,WDAY,0.7417178988591453,0
428,YNDX,XLNX,0.9242657381459266,0
429,ZBRA,XPER,0.33272290249316616,0
430,ZM,YNDX,0.3222823684652081,0
431,ZI,ZBRA,0.7413636062981479,0
432,ZS,ZM,0.06110158138124549,0
433,ZNGA,ZI,0.2919561339279198,0
434,VNET,ZI,0.16380165057390728,0
435,TWOU,ZS,0.7952241535261579,0
436,JOBS,ZNGA,0.3375682616103439,0
437,EGHT,VNET,0.16040986695837134,0
438,ACIA,TWOU,0.09535875459790394,0
439,ACIW,JOBS,0.7630021991760687,0
440,ACMR,EGHT,0.11795662903204202,0
441,ATVI,ACIA,0.14771966497655276,0
442,ADBE,ACIW,0.9806885985037179,0
443,AMD,ACMR,0.9443927630629243,0
444,API,ATVI,1.0,-3
445,ALRM,ADBE,0.5038179047737429,0
446,MDRX,AMD,0.19205466952858669,0
447,GOOG,API,1.0,-3
448,GOOGL,ALRM,0.9485962605036782,0
449,ALTR,MDRX,0.15405041430000005,0
450,AMBA,GOOG,0.41056225079121733,0
451,DOX,GOOGL,0.06617194269526674,0
452,AMKR,ALTR,0.5303151784052493,0
453,ADI,AMBA,0.25013349545351615,0
454,ANSS,DOX,0.8690949866377189,0
455,APPF,AMKR,0.7705175136695879,0
456,APPN,ADI,0.47991178522393946,0
457,AAPL,ANSS,0.1711564932088675,0
458,AMAT,APPF,0.3120524205735338,0
459,ASML,APPN,0.35262576284596325,0
460,AZPN,AAPL,0.3192984974627424,0
461,TEAM,AMAT,0.140775269274596,0
462,ADSK,ASML,0.22343453815139191,0
463,ADP,AZPN,0.594601161967837,0
464,AVT,TEAM,0.37101391071242895,0
465,BIDU,ADSK,0.39448069930173857,0
466,BAND,ADP,0.3497788912898308,0
467,BIGC,AVT,0.9080299516961985,0
468,BILI,BIDU,0.4519751445687001,0
469,BLKB,BAND,0.6722636906291394,0
470,BL,BIGC,0.038803421187390635,0
471,EPAY,BILI,0.34242559027690456,0
